Decimal,Subfleet,Alpha Tag,Mode,Description,Tag,Category
16,,SFPD TAC 7,DE,Tactical 7,Law Tac,Police
48,,SFPD TAC B14,DE,Tactical B14,Law Tac,Police
80,,SFPD NARC 2,DE,Narcotics 2,Law Tac,Police
112,,SFPD NARC 3,DE,Narcotics 3,Law Tac,Police
144,,SFPD NARC 4,DE,Narcotics 4,Law Tac,Police
176,,SFPD NARC 5,DE,Narcotics 5,Law Tac,Police
208,,SFPD SID 2,DE,Special Investigations Division 2,Law Tac,Police
240,,SFPD VICE 1,DE,Vice 1,Law Tac,Police
272,,SFPD CMD 1,DE,Command 1,Law Talk,Police
304,,SFPD CMD 2,DE,Command 2,Law Talk,Police
400,,SFPD Encr 400,DE,Encrypted,Law Talk,Police
432,,SFPD Encr 432,DE,Encrypted,Law Talk,Police
528,,SFPD Encr 528,DE,Encrypted,Law Talk,Police
560,,SFPD Encr 560,DE,Encrypted,Law Talk,Police
592,,SFPD Encr 592,DE,Encrypted,Law Talk,Police
720,,SFPD Encr 720,DE,Encrypted,Law Talk,Police
944,,SFFD EMS1,DE,EMS 1  FDB13  MedicHospital  All Hospitals,Hospital,EMS
976,,SFFD EMS2,DE,EMS 2  FDB14  MedicHospital  SFGH,Hospital,EMS
1008,,SFFD B7,DE,Arson,Fire-Talk,Fire
12848,,SFPD A1,A,Dispatch Mobiles  Southern B  Tenderloin J Districts,Law Dispatch,Police
12880,,SFPD A2,A,Service Portables  Southern B  Tenderloin J Districts,Law Talk,Police
12912,,SFPD A3,A,Dispatch Mobiles  Bayview C  Mission D Districts,Law Dispatch,Police
12944,,SFPD A4,A,Service Portables  Bayview C  Mission D Districts,Law Talk,Police
12976,,SFPD A5,A,Dispatch Mobiles  Central A  Northern E  Park F Districts,Law Dispatch,Police
13008,,SFPD A6,A,Service Portables  Central A  Northern E  Park F Districts,Law Talk,Police
13040,,SFPD A7,A,Dispatch Mobiles  Richmond G  Ingleside H  Taraval I Districts,Law Dispatch,Police
13072,,SFPD A8,A,Service Portables  Richmond G  Ingleside H  Taraval I Districts,Law Talk,Police
13104,,SFPD A9,A,Dispatch Spare,Law Dispatch,Police
13136,,SFPD A10,A,Dispatch Spare,Law Dispatch,Police
13168,,SFPD A11,A,PAT  Muni  Tac  Traffic,Law Talk,Police
13200,,SFPD A12,A,Dispatch Spare,Law Dispatch,Police
13232,,SFPD A13,A,Station Service A B E F J,Law Talk,Police
13264,,SFPD A14,A,Station Service C D G H I,Law Talk,Police
13296,,SFPD PAROLE,A,Parole,Law Talk,Police
13360,,SFPD MA 1,A,Mutual Aid 1,Law Tac,Police
13392,,SFPD MA 2,A,Mutual Aid 2,Law Tac,Police
13424,,SFPD MA 3,A,Mutual Aid 3,Law Tac,Police
13520,,EVENT 1,A,All City Event 1,Interop,CitywideMutual Aid
13552,,EVENT 2,A,All City Event 2,Interop,CitywideMutual Aid
13584,,SAFEVT 1,A,Public Safety Event 1,Interop,CitywideMutual Aid
