Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
30.740000,0.00000,KMA672,San Francisco Municipal Railway MUNI 	,Security Old Still used,MUNI SecurityOld,123.0 PL,FM,BM,Deprecated
31.140000,0.00000,KMA672,San Francisco Municipal Railway MUNI 	,Operations  Maintenance,MUNI Ops/Maint,123.0 PL,FM,BM,Deprecated
45.100000,0.00000,KMA438,San Francisco,Police Lowband Ch 1  Backup Div 2 G H I,SFPD Low Ch1,131.8 PL,FM,BM,Law Dispatch
45.140000,0.00000,WNHH873,San Francisco,Police Lowband Ch 2  Backup Div 2 C D,SFPD Low Ch2,131.8 PL,FM,BM,Law Dispatch
45.460000,0.00000,KMA438,San Francisco,Police Lowband Ch 4  Backup Div 1 E F,SFPD Low Ch4,131.8 PL,FM,BM,Law Dispatch
45.580000,0.00000,KMA438,San Francisco,Police Lowband Ch 3  Backup Div 1 A B J,SFPD Low Ch3,131.8 PL,FM,BM,Law Dispatch
48.300000,0.00000,KMK423,Utilities San Francisco Water Department,City Distribution Division,SFWD CDD,156.7 PL,FM,BM,Utilities
48.400000,0.00000,KGT708,Utilities San Francisco Water Department,Millbrae  Alameda,SFWD MillAla,156.7 PL,FM,BM,Utilities
124.300000,0.00000,,Media Helo Interop,Golden Gate Traffic,GG Traffic,,AM,M,Aircraft
145.150000,144.55000,W6PW,2m,San Francisco Radio Club VHF,W6PW VHF,664 DPL,FM,RM,Ham
146.790000,146.19000,W6TP,2m,GSL Pioneer Radio Club VHF,W6TP VHF,114.8 PL,FM,RM,Ham
151.700000,0.00000,,Businesses Tourism,Golden Gate Park Segway Tours Group Leader to Riders,GGP Segway Tours,,FMN,M,Business
151.835000,0.00000,,Businesses SecurityAlarm,California Security Systems,CA Security,,FM,M,Security
152.270000,157.35000,,Businesses Transportation,Luxor Taxis  MDT Data,LuxorCab MDT,,Telm,BM,Data
152.390000,0.00000,KMA354,Businesses Transportation,Base  DeSoto Cab,DeSoto Cab B,100.0 PL,FMN,B,Transportation
152.960000,0.00000,KMA354,Businesses Transportation,Mobile  DeSoto Cab,Desoto Cab M,100.0 PL,FMN,M,Transportation
153.605000,0.00000,,Businesses Transportation,Base  Luxor Cab,Luxor Cab B,162.2 PL,FM,B,Transportation
153.650000,0.00000,KLD507,Utilities Pacific Gas  Electric,Golden Gate Region  Operations,PGEGoldenGat,127.3 PL,FM,BM,Utilities
155.355000,0.00000,,SheriffEMS,UCSF to Medic Helicopters,USCF Med Helo,173.8 PL,FMN,BM,Hospital
160.125000,159.81000,WPTY464,Businesses Transportation,SF Yellow Cab,SF YellowCab,179.9 PL,FM,RM,Transportation
160.185000,0.00000,,Businesses Transportation,Mobile  Luxor Cab,Luxor Cab M,162.2 PL,FM,M,Transportation
161.670000,0.00000,,Media Channel 5  KPIX TV,TV IFB,KPIX5 IFB,107.2 PL,FMN,F,Media
161.700000,0.00000,,Media 740AM  1069FM  KCBS Radio,Radio IFB 1,KCBS IFB 1,CSQ,FMN,F,Media
161.760000,0.00000,,Media 740AM  1069FM  KCBS Radio,Radio IFB 2,KCBS IFB 2,CSQ,FMN,F,Media
166.737500,0.00000,,Federal San Francisco,Mint Security,US Mint SF,293 NAC,P25,RM,Law Dispatch
407.187500,0.00000, ,  Lawrence Livermore National Laboratory,Site 009 Presidio Hill,,,Project 25,,TRS
407.987500,0.00000, ,  Lawrence Livermore National Laboratory,Site 009 Presidio Hill,,,Project 25,,TRS
408.737500,0.00000, ,  Lawrence Livermore National Laboratory,Site 009 Presidio Hill,,,Project 25,,TRS
409.787500,0.00000, ,  Lawrence Livermore National Laboratory,Site 009 Presidio Hill,,,Project 25,,TRS
409.875000,418.87500,,Federal VA San Francisco,Ft Miley Medical Center,VA Ft Miley,293 NAC,P25,RM,Federal
443.100000,448.10000,W6TP,70cm,GSL Pioneer Radio Club UHF,W6TP UHF,114.8 PL,FM,RM,Ham
444.225000,449.22500,W6PW,70cm,San Francisco Radio Club UHF,W6PW UHF,664 DPL,FM,RM,Ham
444.850000,449.85000,K6KYA,70cm,Echolink to the WIN System ,K6YKA WIN,,FM,RM,Ham
450.062500,455.06250,,Media Metro Traffic,Traffic Channel 1,Metro 1,,FM,RM,Media
450.087500,455.08750,,Media Channel 5  KPIX TV,TV Engineering,KPIX5 Eng,88.5 PL,FM,RM,Media
450.187500,455.18750,,Media Channel 11  KNTV TV,TV Engineering,KNTV Eng,,FM,RM,Media
450.212500,0.00000,,Media 810AM  KGO Radio,Radio News,KGO Radio 1,,FM,RM,Media
450.262500,0.00000,,Media 810AM  KGO Radio,Radio Traffic,KGO Radio 2,,FM,RM,Media
450.287500,0.00000,,Media Channel 7  KGO TV,TV Ch 1,KGO7 Ch 1,114.8 PL,FMN,RM,Media
450.337500,455.33750,,Media Channel 2  KTVU TV,TV Engineering,KTVU2 Eng 1,127.3 PL,FM,RM,Media
450.362500,455.36250,,Media Channel 2  KTVU TV,TV Engineering,KTVU2 Eng 2,,FM,RM,Media
450.462500,0.00000,,Media Channel 7  KGO TV,TV Ch 2,KGO7 Ch 2,85.4 PL,FMN,RM,Media
450.487500,455.48750,,Media Channel 5  KPIX TV,TV Helicopeter,KPIX HELO,411 DPL,FMN,RM,Media
450.512500,455.51250,,Media Channel 5  KPIX TV,TV Engineering ,KPIX 5 Eng,074 DPL,FMN,RM,Media
450.537500,0.00000,,Media 740AM  1069FM  KCBS Radio,Traffic Reports,KCBSTraffRpt,CSQ,FMN,M,Media
450.625000,455.62500,,Media Metro Traffic,Channel 2,Metro 2,,FM,RM,Media
451.025000,0.00000, ,  RFC Wireless DMR,Site 008 San Francisco,,,DMR,,TRS
451.087500,0.00000, ,  RFC Wireless DMR,Site 008 San Francisco,,,DMR,,TRS
451.200000,0.00000, ,  Pacific Gas and Electric PGE,Site 20673 Twin Peaks Z2 S9,,,MPT-1327,,TRS
451.500000,0.00000, ,  Signature Wireless Group iDAS Multitrunk Bay Area,Site 017 Site 17  San Francisco,,,NXDN,,TRS
451.550000,0.00000,,Attractions Oracle Park,Dugout 1,OP Dugout 1,179.9 PL,FMN,M,Business
451.600000,0.00000,,Attractions Oracle Park,Dugout 2,OP Dugout 2,179.9 PL,FMN,M,Business
451.637500,0.00000, ,  Signature Wireless Group iDAS Multitrunk Bay Area,Site 017 Site 17  San Francisco,,,NXDN,,TRS
451.675000,0.00000, ,  Signature Wireless Group iDAS Multitrunk Bay Area,Site 014 Site 14  Twin Peaks,,,NXDN,,TRS
451.887500,0.00000, ,  Signature Wireless Group iDAS Multitrunk Bay Area,Site 014 Site 14  Twin Peaks,,,NXDN,,TRS
451.925000,0.00000, ,  TelePath Corporation,Site 013 Site 13  Twin Peaks,,,DMR,,TRS
452.062500,0.00000, ,  Oracle Park,Site 001 Oracle Park,,,DMR,,TRS
452.100000,0.00000,KRO357,Businesses Transportation,Base  Citywide Dispatch  Royal Metro Big Dog Green  City Cab,Citywide D-B,88.5 PL,FM,B,Transportation
452.125000,0.00000, ,  San Francisco Zoo,Site 001 SF Zoo,,,DMR,,TRS
452.187500,0.00000, ,  Oracle Park,Site 001 Oracle Park,,,DMR,,TRS
452.287500,0.00000, ,  Oracle Park,Site 001 Oracle Park,,,DMR,,TRS
